"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate"
"Average Pageviews","hs_analytics_average_page_views","number","The average number of pages a contact sees. This is automatically set by HubSpot for each contact.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","","100%"
"First Referring Site","hs_analytics_first_referrer","string","The first website that referred a contact to your website. This is automatically set by HubSpot for each contact.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Inbounddb lists (2); Automation platform flow (28); Sales view (4)","38.06%"
"Time First Seen","hs_analytics_first_timestamp","datetime","The first time a contact has been seen. This is automatically set by HubSpot for each contact.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","","100%"
"First Touch Converting Campaign","hs_analytics_first_touch_converting_campaign","string","The campaign responsible for the first touch creation of this contact","analyticsinformation","false","","true","true","false","true","false","true","HubSpot","","0.7%"
"First Page Seen","hs_analytics_first_url","string","The first page a contact saw on your website. This is automatically set by HubSpot for each contact.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","","55.15%"
"Time of First Session","hs_analytics_first_visit_timestamp","datetime","The first time a contact visited your website. This is automatically set by HubSpot for each contact.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","","55.25%"
"Last Referring Site","hs_analytics_last_referrer","string","The last website that referred a contact to your website. This is automatically set by HubSpot for each contact.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","","48.36%"
"Time Last Seen","hs_analytics_last_timestamp","datetime","The last time and date a contact has viewed a page on your website.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","","55.25%"
"Last Touch Converting Campaign","hs_analytics_last_touch_converting_campaign","string","The campaign responsible for the last touch creation of this contact","analyticsinformation","false","","true","true","false","true","false","true","HubSpot","","1.07%"
"Last Page Seen","hs_analytics_last_url","string","The last page a contact saw on your website. This is automatically set by HubSpot for each contact.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","","55.25%"
"Time of Last Session","hs_analytics_last_visit_timestamp","datetime","The last time and date a contact visited your website.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Report (1)","55.75%"
"Number of event completions","hs_analytics_num_event_completions","number","The sum of all events a contact has experienced. This is automatically set by HubSpot for each contact.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","","100%"
"Number of Pageviews","hs_analytics_num_page_views","number","The sum of all pages a contact has seen on your website. This is automatically set by HubSpot for each contact.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","","100%"
"Number of Sessions","hs_analytics_num_visits","number","The sum of all sessions a contact has made to your website. This is automatically set by HubSpot for each contact.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Report (1)","100%"
"Event Revenue","hs_analytics_revenue","number","Event revenue can be set on a contact though HubSpot's enterprise Events. http://help.hubspot.com/articles/KCS_Article/Reports/How-do-I-create-Events-in-HubSpot","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","","100%"
"Original Source","hs_analytics_source","enumeration","First known source the contact used to find your website. Set automatically, but may be updated manually.","analyticsinformation","false","Organic Search (ORGANIC_SEARCH); Paid Search (PAID_SEARCH); Email Marketing (EMAIL_MARKETING); Organic Social (SOCIAL_MEDIA); Referrals (REFERRALS); Other Campaigns (OTHER_CAMPAIGNS); Direct Traffic (DIRECT_TRAFFIC); Offline Sources (OFFLINE); Paid Social (PAID_SOCIAL); AI Referrals (AI_REFERRALS)","false","true","false","false","false","true","HubSpot","Inbounddb lists (1); Automation platform flow (19); Report (2); Sales view (8)","100%"
"Original Source Drill-Down 1","hs_analytics_source_data_1","string","Additional information about the source through which a contact first found your website. This property is automatically set by HubSpot.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Inbounddb lists (2); Automation platform flow (19); Sales view (9)","100%"
"Original Source Drill-Down 2","hs_analytics_source_data_2","string","Additional information about the source through which a contact first found your website. This property is automatically set by HubSpot.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Inbounddb lists (3); Automation platform flow (16); Sales view (9)","85.38%"
"Latest Traffic Source","hs_latest_source","enumeration","The source of the latest session for a contact","analyticsinformation","false","Organic Search (ORGANIC_SEARCH); Paid Search (PAID_SEARCH); Email Marketing (EMAIL_MARKETING); Organic Social (SOCIAL_MEDIA); Referrals (REFERRALS); Other Campaigns (OTHER_CAMPAIGNS); Direct Traffic (DIRECT_TRAFFIC); Offline Sources (OFFLINE); Paid Social (PAID_SOCIAL); AI Referrals (AI_REFERRALS)","false","true","false","false","false","true","HubSpot","Automation platform flow (1); Sales view (4)","100%"
"Latest Traffic Source Drill-Down 1","hs_latest_source_data_1","string","Additional information about the latest source for the last session the contact used to find your website. Set automatically.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Automation platform flow (1); Sales view (4)","100%"
"Latest Traffic Source Drill-Down 2","hs_latest_source_data_2","string","Additional information about the source for the last session the contact used to find your website. Set automatically.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Sales view (4)","79.46%"
"Latest Traffic Source Date","hs_latest_source_timestamp","datetime","The time of the latest session for a contact","analyticsinformation","false","","false","true","false","false","false","true","HubSpot","Sales view (4)","100%"
"Street Address","address","string","A contact's street address, including apartment or unit #","contactinformation","true","","false","true","false","false","false","true","HubSpot","Form (4)","28.43%"
"Agree to terms","agree_to_terms","enumeration","I agree to the terms and conditions of the services agreement.","contactinformation","true","Yes (true); No (false)","false","false","false","false","false","false","Daniel West","Automation platform flow (1)","0%"
"Alternative Email","alternative_email","string","Other Email","contactinformation","true","","false","false","false","false","false","false","Unknown user","","0.17%"
"Alternative Phone Number","alternative_phone_number","string","","contactinformation","true","","false","false","false","false","false","false","Unknown user","","0.13%"
"Annual Revenue","annualrevenue","string","Annual company revenue","contactinformation","true","","false","false","false","false","false","true","HubSpot","","0%"
"AuctionMethod Blog Email Subscription","blog_default_hubspot_blog_subscription","enumeration","","contactinformation","true","Instant (instant); Daily (daily); Weekly (weekly); Monthly (monthly)","false","false","false","false","false","false","Unknown user","Form (1); Inbounddb lists (4)","35.85%"
"Business Legal Name","business_legal_name","string","Legal name of business","contactinformation","true","","false","false","false","false","false","false","Unknown user","","0%"
"Buying Timeline","buying_timeline","enumeration","Indicates the expected buying timeline or urgency for this contact, helping the sales team prioritize leads and forecast deal closure timing based on need.","contactinformation","true","Immediate Need - Within 30 Days (immediate_need__within_30_days); Emergency Replacement - ASAP (emergency_replacement__asap); Short Term - 1-3 Months (short_term__13_months); Medium Term - 3-6 Months (medium_term__36_months); Long Term - 6-12 Months (long_term__612_months); Future Planning - 12+ Months (future_planning__12_months); Evaluating Options - No Set Timeline (evaluating_options__no_set_timeline)","false","false","false","false","false","false","Daniel West","Properties v3 card (2)","0.13%"
"Card CVV","card_cvv","string","","contactinformation","true","","false","false","false","false","false","false","Unknown user","","0%"
"Card Expiry Date1","card_expiry_date1","string","","contactinformation","true","","false","false","false","false","false","false","Unknown user","","0%"
"Card Expiry Date2","card_expiry_date2","string","","contactinformation","true","","false","false","false","false","false","false","Unknown user","","0%"
"Card Number","card_number","string","","contactinformation","true","","false","false","false","false","false","false","Unknown user","Form (4)","0%"
"City","city","string","A contact's city of residence","contactinformation","true","","false","true","false","false","false","true","HubSpot","Form (37); Email (2); Layout (1)","32.54%"
"Close Date","closedate","datetime","The date that a contact became a customer. This property is set automatically by HubSpot when a deal or opportunity is marked as closed-won. It can also be set manually or programmatically.","contactinformation","false","","false","true","false","false","false","true","HubSpot","","6.45%"
"Company Name","company","string","The name of the contact's company. This is separate from the Name property of the contact's associated company and can be set independently.","contactinformation","true","","false","true","false","false","false","true","HubSpot","Form (18); Inbounddb lists (1); Automation platform flow (2); Object requirement (1); Email (2); Layout (1); Sales view (16)","79.93%"
"Company size","company_size","string","A contact's company size. This property is required for the Facebook Ads Integration. This property will be automatically synced via the Lead Ads tool","contactinformation","true","","false","false","false","false","false","true","HubSpot","","0.07%"
"Company Website URL","company_website_url","string","","contactinformation","true","","false","false","false","false","false","false","Unknown user","Form (1); Bot (1); Automation platform flow (2)","0.87%"
"Competitor Products","competitor_products","enumeration","Tracks which competitor platforms or solutions a prospect is currently using or considering, enabling the sales team to assess the competitive landscape and tailor messaging for AuctionMethod's unique advantages.","contactinformation","true","LiveAuctioneers (liveauctioneers); Invaluable (invaluable); Hibid (hibid); BidSpotter (bidspotter); Proxibid (proxibid); AuctionTime (auctiontime); K-BID (kbid); BidCorp (bidcorp); EstateSales.NET (estatesalesnet); AuctionZip (auctionzip); AuctionFlex (auctionflex); MaxaNet (maxanet); Bidsquare (bidsquare); Facebook (facebook); Existing AuctionMethod Site (existing_auctionmethod_site); Legacy/Custom In-House System (legacycustom_inhouse_system); Traditional In-Person Only (traditional_inperson_only); Currently Evaluating Multiple Options (currently_evaluating_multiple_options)","false","false","false","false","false","false","Daniel West","Properties v3 card (2)","0.7%"
"Country/Region","country","string","The contact's country/region of residence. This might be set via import, form, or integration.","contactinformation","true","","false","false","false","false","false","true","HubSpot","Form (2); Sales view (1)","29.03%"
"Create Date","createdate","datetime","The date that a contact entered the system","contactinformation","false","","true","true","false","false","false","true","HubSpot","Inbounddb lists (1); Automation platform flow (1); Report (25); Sales view (14)","100%"
"Date of birth","date_of_birth","string","A contact's date of birth. This property is required for the Facebook Ads Integration. This property will be automatically synced via the Lead Ads tool","contactinformation","true","","false","false","false","false","false","true","HubSpot","","0%"
"Date to post","date_to_post","string","","contactinformation","true","","false","false","false","false","false","false","Unknown user","","0%"
"Days To Close","days_to_close","number","The days that elapsed from when a contact was created until they closed as a customer. This is set automatically by HubSpot and can be used for segmentation and reporting.","contactinformation","false","","true","true","true","false","false","true","HubSpot","","6.42%"
"Degree","degree","string","A contact's degree. This property is required for the Facebook Ads Integration. This property will be automatically synced to via Lead Ads tool","contactinformation","true","","false","false","false","false","false","true","HubSpot","","0%"
"demo_comment","demo_comment","string","","contactinformation","true","","false","false","false","false","false","false","Unknown user","Form (2)","2.24%"
"Email","email","string","A contact's email address","contactinformation","true","","false","true","false","false","false","true","HubSpot","Form (163); Inbounddb lists (3); Bot (4); Automation platform flow (7); Object requirement (1); Email (5); Report (2); Data sync mapping (1); Sales view (20); Properties v3 card (1)","100%"
"Date of last meeting booked in meetings tool","engagements_last_meeting_booked","datetime","The date of the last meeting that has been scheduled by a contact through the meetings tool. If multiple meetings have been scheduled, the date of the last chronological meeting in the timeline is shown.","contactinformation","false","","true","true","false","false","false","true","HubSpot","Inbounddb lists (1); Automation platform flow (5); Report (1); Sales view (3)","18.39%"
"Campaign of last booking in meetings tool","engagements_last_meeting_booked_campaign","string","This UTM parameter shows which marketing campaign (e.g. a specific email) referred the contact to the meetings tool for their most recent booking. This property is only populated when you add tracking parameters to your meeting link.","contactinformation","false","","true","true","false","false","false","true","HubSpot","","0.74%"
"Medium of last booking in meetings tool","engagements_last_meeting_booked_medium","string","This UTM parameter shows which channel (e.g. email) referred the contact to the meetings tool for their most recent booking. This property is only populated when you add tracking parameters to your meeting link.","contactinformation","false","","true","true","false","false","false","true","HubSpot","","0.77%"
"Source of last booking in meetings tool","engagements_last_meeting_booked_source","string","This UTM parameter shows which site (e.g. Twitter) referred the contact to the meetings tool for their most recent booking. This property is only populated when you add tracking parameters to your meeting link.","contactinformation","false","","true","true","false","false","false","true","HubSpot","","0.77%"
"Est. Monthly Sales","est_monthly_sales","number","What is your estimated monthly sales volume?","contactinformation","true","","false","false","false","false","false","false","Unknown user","Form (1)","0%"
"Facebook Personal Profile","facebook_personal_profile","string","Your personal profile on Facebook","contactinformation","true","","false","false","false","false","false","false","Unknown user","","0.27%"
"Fax Number","fax","string","A contact's primary fax number","contactinformation","true","","false","true","false","false","false","true","HubSpot","","0.33%"
"Field of study","field_of_study","string","A contact's field of study. This property is required for the Facebook Ads Integration. This property will be automatically synced via the Lead Ads tool","contactinformation","true","","false","false","false","false","false","true","HubSpot","","0%"
"First Comment","first_comment","string","This is the first comment submitted via the contact form in HubSpot.","contactinformation","true","","false","false","false","false","false","false","Daniel West","Form (2); Automation platform flow (1)","8.9%"
"First Deal Created Date","first_deal_created_date","datetime","The date the first deal for a contact was created. This is automatically set by HubSpot and can be used for segmentation and reporting.","contactinformation","false","","true","true","false","false","false","true","HubSpot","","4.01%"
"First Name","firstname","string","A contact's first name","contactinformation","true","","false","true","false","false","false","true","HubSpot","Form (90); Bot (4); Automation platform flow (7); Object requirement (1); Email (53); Layout (19); Sales view (9); Properties v3 card (1)","74.88%"
"Gender","gender","string","","contactinformation","true","","false","false","false","false","false","true","HubSpot","","0%"
"Graduation date","graduation_date","string","A contact's graduation date. This property is required for the Facebook Ads Integration. This property will be automatically synced via the Lead Ads tool","contactinformation","true","","false","false","false","false","false","true","HubSpot","","0%"
"Hosted Site","hosted_site","string","The domain name pointing to the AuctionMethod installation","contactinformation","true","","false","false","false","false","false","false","Daniel West","","0.07%"
"Buying Role","hs_buying_role","enumeration","The role that a contact plays during the sales process. Contacts can have more than one role, and they can share the same role with another contact.","contactinformation","true","Blocker (BLOCKER) [READ-ONLY]; Budget Holder (BUDGET_HOLDER) [READ-ONLY]; Champion (CHAMPION) [READ-ONLY]; Decision Maker (DECISION_MAKER) [READ-ONLY]; End User (END_USER) [READ-ONLY]; Executive Sponsor (EXECUTIVE_SPONSOR) [READ-ONLY]; Influencer (INFLUENCER) [READ-ONLY]; Legal & Compliance (LEGAL_AND_COMPLIANCE) [READ-ONLY]; Other (OTHER) [READ-ONLY]","false","true","false","false","false","true","HubSpot","Properties v3 card (2)","0.57%"
"Chat Assistant IQL Date","hs_chat_assistant_iql_date","datetime","Date that an automated chat assistant IQL was triggered based on chat intent","contactinformation","false","","false","false","false","false","false","true","HubSpot","","0%"
"Chat Assistant Source","hs_chat_assistant_source","enumeration","Which chat assistant the QL is being generated from","contactinformation","false","Customer Support (customer_support); Breeze (breeze)","false","false","false","false","false","true","HubSpot","","0%"
"Chat Assistant:Summary","hs_chat_assistant_summary","string","AI-generated rich summary of a chat conversation when a customer expresses buying intent or requests to speak with Sales. Used to populate the Support Assistant QL card in the BDR prospecting workspace. This is populated by our HighIntentQlTool.","contactinformation","false","","false","false","false","false","false","true","HubSpot","","0%"
"Enrichment opt out","hs_contact_enrichment_opt_out","bool","","contactinformation","false","Yes (true); No (false)","true","true","false","false","false","true","HubSpot","","0%"
"Enrichment opt out timestamp","hs_contact_enrichment_opt_out_timestamp","datetime","Timestamp of when the contact opted out of being included in the HubSpot Enrichment database","contactinformation","false","","true","true","false","false","false","true","HubSpot","","0%"
"Member email","hs_content_membership_email","string","Email used to send private content information to members","contactinformation","false","","false","true","false","false","false","true","HubSpot","","0%"
"Email Confirmed","hs_content_membership_email_confirmed","bool","Email Confirmation status of user of Content Membership","contactinformation","false","True (true); False (false)","true","true","false","false","false","true","HubSpot","","0%"
"Time enrolled in registration follow up emails","hs_content_membership_follow_up_enqueued_at","datetime","The time when the contact was first enrolled in the registration follow up email flow","contactinformation","false","","true","true","false","false","false","true","HubSpot","","0%"
"Membership Notes","hs_content_membership_notes","string","The notes relating to the contact's content membership.","contactinformation","false","","false","true","false","false","false","true","HubSpot","","0%"
"Registered At","hs_content_membership_registered_at","datetime","Datetime at which this user was set up for Content Membership","contactinformation","false","","true","true","false","false","false","true","HubSpot","","0%"
"Domain to which registration email was sent","hs_content_membership_registration_domain_sent_to","string","Domain to which the registration invitation email for Content Membership was sent to","contactinformation","false","","true","true","false","false","false","true","HubSpot","","0%"
"Time registration email was sent","hs_content_membership_registration_email_sent_at","datetime","Datetime at which this user was sent a registration invitation email for Content Membership","contactinformation","false","","true","true","false","false","false","true","HubSpot","","0%"
"Status","hs_content_membership_status","enumeration","The status of the contact's content membership.","contactinformation","false","Active (active) [READ-ONLY]; Inactive (inactive) [READ-ONLY]","false","true","false","false","false","true","HubSpot","","0%"
"Country/Region Code","hs_country_region_code","string","The contact's two-letter country code.","contactinformation","true","","false","false","false","false","false","true","HubSpot","","3.34%"
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","contactinformation","false","","true","true","false","true","false","true","HubSpot","Sales view (3)","37.59%"
"Currently Enrolled in Prospecting Agent","hs_currently_enrolled_in_prospecting_agent","bool","Indicates whether or not the contact has an active prospecting agent enrollment","contactinformation","false","Yes (true); No (false)","true","true","true","false","false","true","HubSpot","","53.51%"
"Email Domain","hs_email_domain","string","A contact's email address domain","contactinformation","false","","true","true","true","false","false","true","HubSpot","","100%"
"ID of first engagement","hs_first_engagement_object_id","number","The object id of the current contact owner's first engagement with the contact.","contactinformation","false","","true","true","true","false","false","true","HubSpot","","32.44%"
"Inferred Language Codes","hs_inferred_language_codes","enumeration","Inferred languages based on location.  ISO 639-1","contactinformation","false","Abkhazian (ab); Afar (aa); Afrikaans (af); Akan (ak); Albanian (sq); Amharic (am); Arabic (ar); Aragonese (an); Armenian (hy); Assamese (as); Avaric (av); Avestan (ae); Aymara (ay); Azerbaijani (az); Bambara (bm); Bashkir (ba); Basque (eu); Belarusian (be); Bengali (bn); Bislama (bi); Bokmål, Norwegian; Norwegian Bokmål (nb); Bosnian (bs); Breton (br); Bulgarian (bg); Burmese (my); Catalan; Valencian (ca); Central Khmer (km); Chamorro (ch); Chechen (ce); Chichewa; Chewa; Nyanja (ny); Chinese (zh); Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic (cu); Chuvash (cv); Cornish (kw); Corsican (co); Cree (cr); Croatian (hr); Czech (cs); Danish (da); Divehi; Dhivehi; Maldivian (dv); Dutch; Flemish (nl); Dzongkha (dz); English (en); Esperanto (eo); Estonian (et); Ewe (ee); Faroese (fo); Fijian (fj); Finnish (fi); French (fr); Fulah (ff); Gaelic; Scottish Gaelic (gd); Galician (gl); Ganda (lg); Georgian (ka); German (de); Greek, Modern (1453-) (el); Guarani (gn); Gujarati (gu); Haitian; Haitian Creole (ht); Hausa (ha); Hebrew (he); Herero (hz); Hindi (hi); Hiri Motu (ho); Hungarian (hu); Icelandic (is); Ido (io); Igbo (ig); Indonesian (id); Interlingua (International Auxiliary Language Association) (ia); Interlingue; Occidental (ie); Inuktitut (iu); Inupiaq (ik); Irish (ga); Italian (it); Japanese (ja); Javanese (jv); Kalaallisut; Greenlandic (kl); Kannada (kn); Kanuri (kr); Kashmiri (ks); Kazakh (kk); Kikuyu; Gikuyu (ki); Kinyarwanda (rw); Kirghiz; Kyrgyz (ky); Komi (kv); Kongo (kg); Korean (ko); Kuanyama; Kwanyama (kj); Kurdish (ku); Lao (lo); Latin (la); Latvian (lv); Limburgan; Limburger; Limburgish (li); Lingala (ln); Lithuanian (lt); Luba-Katanga (lu); Luxembourgish; Letzeburgesch (lb); Macedonian (mk); Malagasy (mg); Malay (macrolanguage) (ms); Malayalam (ml); Maltese (mt); Manx (gv); Maori (mi); Marathi (mr); Marshallese (mh); Mongolian (mn); Nauru (na); Navajo; Navaho (nv); Ndebele, North; North Ndebele (nd); Ndebele, South; South Ndebele (nr); Ndonga (ng); Nepali (macrolanguage) (ne); Northern Sami (se); Norwegian Nynorsk; Nynorsk, Norwegian (nn); Norwegian (no); Occitan (post 1500) (oc); Ojibwa (oj); Oriya (macrolanguage) (or); Oromo (om); Ossetian; Ossetic (os); Pali (pi); Panjabi; Punjabi (pa); Persian (fa); Polish (pl); Portuguese (pt); Pushto; Pashto (ps); Quechua (qu); Romanian; Moldavian; Moldovan (ro); Romansh (rm); Rundi (rn); Russian (ru); Samoan (sm); Sango (sg); Sanskrit (sa); Sardinian (sc); Serbian (sr); Shona (sn); Sichuan Yi; Nuosu (ii); Sindhi (sd); Sinhala; Sinhalese (si); Slovak (sk); Slovenian (sl); Somali (so); Sotho, Southern (st); Spanish; Castilian (es); Sundanese (su); Swahili (macrolanguage) (sw); Swati (ss); Swedish (sv); Tagalog (tl); Tahitian (ty); Tajik (tg); Tamil (ta); Tatar (tt); Telugu (te); Thai (th); Tibetan (bo); Tigrinya (ti); Tonga (Tonga Islands) (to); Tsonga (ts); Tswana (tn); Turkish (tr); Turkmen (tk); Twi (tw); Uighur; Uyghur (ug); Ukrainian (uk); Urdu (ur); Uzbek (uz); Venda (ve); Vietnamese (vi); Volapük (vo); Walloon (wa); Welsh (cy); Western Frisian (fy); Wolof (wo); Xhosa (xh); Yiddish (yi); Yoruba (yo); Zhuang; Chuang (za); Zulu (zu)","false","false","false","false","false","true","HubSpot","","0%"
"Intent Signals active","hs_intent_signals_enabled","bool","Indicates whether intent signal tracking is currently active for this record","contactinformation","false","Yes (true); No (false)","true","false","false","false","false","true","HubSpot","","0%"
"Has been enriched","hs_is_enriched","bool","Indicates whether this object has ever had enriched properties written to it.","contactinformation","false","Yes (true); No (false)","true","true","false","false","false","true","HubSpot","","10.2%"
"Contact unworked","hs_is_unworked","bool","Contact has not been assigned or has not been engaged after last owner assignment/re-assignment","contactinformation","false","True (true); False (false)","true","true","false","false","false","true","HubSpot","","100%"
