"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate"
"Description of first engagement","hs_sa_first_engagement_descr","enumeration","A description of the current contact owner's first engagement with the contact.","contactinformation","false"," (EMPTY_DESCRIPTION); Bounced (BOUNCED); Busy (BUSY); Calling CRM user (CALLING_CRM_USER) [HIDDEN]; Canceled (CANCELED); Completed (COMPLETED); Connecting (CONNECTING) [HIDDEN]; Deferred (DEFERRED); Facebook Messenger (FB_MESSENGER); Failed (FAILED); In progress (IN_PROGRESS) [HIDDEN]; Live chat (LIVE_CHAT); Logged call (LOGGED_CALL); No answer (NO_ANSWER); No show (NO_SHOW); Not started (NOT_STARTED); Queued (QUEUED) [HIDDEN]; Rescheduled (RESCHEDULED); Ringing (RINGING) [HIDDEN]; Scheduled (SCHEDULED); Sending (SENDING); Sent (SENT); Waiting (WAITING); Missed (MISSED); On Hold (HOLD)","true","true","true","false","false","true","HubSpot","","32.44%"
"Type of first engagement","hs_sa_first_engagement_object_type","enumeration","The object type of the current contact owner's first engagement with the contact.","contactinformation","false","Call (CALL); Conversation session (CONVERSATION_SESSION); Email (EMAIL); Meeting (MEETING_EVENT); Task (TASK)","true","true","true","false","false","true","HubSpot","","32.44%"
"Recent Sales Email Clicked Date","hs_sales_email_last_clicked","datetime","The last time a tracked sales email was clicked by this user","contactinformation","false","","true","true","false","false","false","true","HubSpot","","12.61%"
"Recent Sales Email Opened Date","hs_sales_email_last_opened","datetime","The last time a tracked sales email was opened by this contact. This property does not update for emails that were sent to more than one contact.","contactinformation","false","","true","true","false","false","false","true","HubSpot","","35.28%"
"Recent Sales Email Replied Date","hs_sales_email_last_replied","datetime","The most recent email from this contact that was received and logged by HubSpot. This value is automatically set by HubSpot and may not be modified.","contactinformation","false","","true","true","false","false","false","true","HubSpot","","24.68%"
"Employment Seniority","hs_seniority","enumeration","Job Seniority","contactinformation","true","VP (vp); Director (director); Entry (entry); Executive (executive); Manager (manager); Owner (owner); Partner (partner); Senior (senior); Employee (employee)","false","false","false","false","false","true","HubSpot","","3.31%"
"Number of sequences enrolled","hs_sequences_enrolled_count","number","The number of sequences enrolled.","contactinformation","false","","true","true","false","false","false","true","HubSpot","","27.56%"
"Currently in Sequence","hs_sequences_is_enrolled","bool","A yes/no field that indicates whether the contact is currently in a Sequence.","contactinformation","false","True (true); False (false)","true","true","true","false","false","true","HubSpot","Automation platform flow (1)","27.63%"
"State/Region Code","hs_state_code","string","The contact's state or region code.","contactinformation","true","","false","false","false","false","false","true","HubSpot","","3.18%"
"Employment Sub Role","hs_sub_role","enumeration","Job sub role","contactinformation","true","Account Executive (account_executive); Account Manager (account_manager); Accountant (accountant); Accounting Manager (accounting_manager); Administrative Assistant (administrative_assistant); Appraisal (appraisal); Architect IT (architect_it); Assistant (assistant); Attorney (attorney); Auditor (auditor); Brand Marketing (brand_marketing); Business Analyst (business_analyst); Business Consultant (business_consultant); Business Manager (business_manager); Chief Financial Officer (chief_financial_officer); Communications Manager (communications_manager); Community (community); Content Marketing (content_marketing); Contracts (contracts); Creative (creative); Customer Service Specialist (customer_service_specialist); Customer Success (customer_success); Data IT (data_it); Data Science Engineer (data_science_engineer); Database Administrator (database_administrator); Design Engineer (design_engineer); Development Specialist (development_specialist); Devops Engineer (devops_engineer); Digital Marketing (digital_marketing); Director of Development (director_of_development); Editorial (editorial); Electrical Engineer (electrical_engineer); Engineering Manager (engineering_manager); Events (events); Executive Assistant (executive_assistant); Facilities (facilities); Fashion Design (fashion_design); Field Marketing (field_marketing); Financial Analyst (financial_analyst); Financial Controller (financial_controller); Fitness (fitness); Founder (founder); General Counsel (general_counsel); General Manager (general_manager); General Partner (general_partner); Graphic Design (graphic_design); Human Resources Specialist (human_resources_specialist); Information Technology Specialist (information_technology_specialist); Investment (investment); Investment Banker (investment_banker); Journalist (journalist); Key Account Manager (key_account_manager); Law Enforcement (law_enforcement); Lawyer (lawyer); Logistics Manager (logistics_manager); Management (management); Marketing Specialist (marketing_specialist); Mechanical Engineer (mechanical_engineer); Medical Doctor (medical_doctor); Network Engineer (network_engineer); Nurse (nurse); Office Management (office_management); Office Manager (office_manager); Operational Specialist (operational_specialist); Owner (owner); Paralegal (paralegal); Principal (principal); Product Design (product_design); Product Manager (product_manager); Product Marketing (product_marketing); Production Manager (production_manager); Professor (professor); Program Coordinator (program_coordinator); Program Manager (program_manager); Project Engineer (project_engineer); Project Manager (project_manager); Property Manager (property_manager); QA engineer (qa_engineer); QA IT (qa_it); Quality Assurance Manager (quality_assurance_manager); Quality Assurance Specialist (quality_assurance_specialist); Realtor (realtor); Recruiter (recruiter); Relationship Manager (relationship_manager); Research Analyst (research_analyst); Risk Compliance (risk_compliance); Sales Executive (sales_executive); Sales Operations (sales_operations); Sales Specialist (sales_specialist); Salesperson (salesperson); Secretary (secretary); Social Marketing (social_marketing); Software Engineer (software_engineer); Strategy (strategy); Student (student); Support (support); Support Specialist (support_specialist); System Administrator (system_administrator); System Analyst (system_analyst); Systems Engineer (systems_engineer); Talent (talent); Tax Audit (tax_audit); Teacher (teacher); Technical Manager (technical_manager); Technical Support Specialist (technical_support_specialist); Therapist (therapist); Training (training); Video (video); Web Developer (web_developer); Writer (writer); Chief Executive Officer (chief_executive_officer); Chief Operating Officer (chief_operating_officer); Chief Marketing Officer (chief_marketing_officer); Chief Technology Officer (chief_technology_officer); Chief Information Officer (chief_information_officer); Chief Human Resources officer (chief_human_resources_officer); Chief Compliance Officer (chief_compliance_officer); Chief Risk Officer (chief_risk_officer); Chief Data Officer (chief_data_officer); Chief Product Officer (chief_product_officer); Chief Revenue Officer (chief_revenue_officer); Chief Sustainability Officer (chief_sustainability_officer); Chief Legal Officer (chief_legal_officer); Chief Security Officer (chief_security_officer); Chief Experience Officer (chief_experience_officer); Chief Innovation Officer (chief_innovation_officer); Retail (retail); Retired (retired)","false","false","false","false","false","true","HubSpot","","3.31%"
